,NOC,Year,F,M,FP
222,BHU,2004,1.0,1.0,0.5
223,BHU,2008,1.0,1.0,0.5
224,BIH,1992,6.0,7.0,0.46153846153846156
225,BIH,1996,2.0,10.0,0.16666666666666666
226,BIH,2000,2.0,9.0,0.18181818181818182
227,BIH,2004,2.0,9.0,0.18181818181818182
228,BIH,2008,1.0,6.0,0.14285714285714285
229,BIH,2012,2.0,6.0,0.25
230,BIH,2016,4.0,7.0,0.36363636363636365
231,BIZ,1992,1.0,17.0,0.05555555555555555
232,BIZ,1996,3.0,2.0,0.6
233,BIZ,2000,1.0,1.0,0.5
234,BIZ,2004,1.0,1.0,0.5
235,BIZ,2008,1.0,3.0,0.25
236,BIZ,2012,1.0,2.0,0.3333333333333333
237,BIZ,2016,1.0,2.0,0.3333333333333333
238,BLR,1996,114.0,145.0,0.44015444015444016
239,BLR,2000,103.0,128.0,0.4458874458874459
240,BLR,2004,87.0,105.0,0.453125
241,BLR,2008,96.0,141.0,0.4050632911392405
242,BLR,2012,86.0,99.0,0.4648648648648649
243,BLR,2016,77.0,65.0,0.5422535211267606
244,BOH,1900,2.0,7.0,0.2222222222222222
245,BOL,1984,1.0,12.0,0.07692307692307693
246,BOL,1988,4.0,8.0,0.3333333333333333
247,BOL,1992,9.0,12.0,0.42857142857142855
248,BOL,1996,2.0,7.0,0.2222222222222222
249,BOL,2000,2.0,3.0,0.4
250,BOL,2004,7.0,4.0,0.6363636363636364
251,BOL,2008,3.0,4.0,0.42857142857142855
252,BOL,2012,2.0,3.0,0.4
253,BOL,2016,6.0,6.0,0.5
254,BOT,2004,1.0,11.0,0.08333333333333333
255,BOT,2008,2.0,9.0,0.18181818181818182
256,BOT,2012,1.0,3.0,0.25
257,BOT,2016,3.0,11.0,0.21428571428571427
258,BRA,1932,3.0,64.0,0.04477611940298507
259,BRA,1936,8.0,86.0,0.0851063829787234
260,BRA,1948,22.0,83.0,0.20952380952380953
261,BRA,1952,8.0,111.0,0.06722689075630252
262,BRA,1956,1.0,62.0,0.015873015873015872
263,BRA,1960,1.0,85.0,0.011627906976744186
264,BRA,1964,1.0,64.0,0.015384615384615385
265,BRA,1968,4.0,85.0,0.0449438202247191
266,BRA,1972,7.0,97.0,0.0673076923076923
267,BRA,1976,10.0,79.0,0.11235955056179775
