,NOC,Year,F,M,FP
548,ROU,2006,26.0,27.0,0.49056603773584906
549,ROU,2010,28.0,21.0,0.5714285714285714
550,ROU,2014,15.0,25.0,0.375
551,RSA,1960,3.0,1.0,0.75
552,RSA,1994,2.0,1.0,0.6666666666666666
553,RSA,1998,1.0,2.0,0.3333333333333333
554,RUS,1994,84.0,124.0,0.40384615384615385
555,RUS,1998,75.0,122.0,0.38071065989847713
556,RUS,2002,102.0,138.0,0.425
557,RUS,2006,111.0,172.0,0.392226148409894
558,RUS,2010,126.0,153.0,0.45161290322580644
559,RUS,2014,152.0,201.0,0.43059490084985835
560,SCG,1998,1.0,1.0,0.5
